"Date(UTC)","UnixTimeStamp","Value"
"2/8/2017","1486512000","8613.5409"
"2/9/2017","1486598400","8630.2683"
"2/10/2017","1486684800","8851.2981"
"2/11/2017","1486771200","8899.5970"
"2/12/2017","1486857600","9024.3553"
"2/13/2017","1486944000","9091.8695"
"2/14/2017","1487030400","9220.0798"
"2/15/2017","1487116800","9298.3920"
"2/16/2017","1487203200","9286.9502"
"2/17/2017","1487289600","9441.9350"
"2/18/2017","1487376000","9563.2843"
"2/19/2017","1487462400","9739.2103"
"2/20/2017","1487548800","9701.1651"
"2/21/2017","1487635200","10010.5654"
"2/22/2017","1487721600","9878.5100"
"2/23/2017","1487808000","9956.9834"
"2/24/2017","1487894400","9921.6984"
"2/25/2017","1487980800","10123.8800"
"2/26/2017","1488067200","10602.6615"
"2/27/2017","1488153600","10625.2740"
"2/28/2017","1488240000","11119.9788"
"3/1/2017","1488326400","10718.1257"
"3/2/2017","1488412800","10915.3639"
"3/3/2017","1488499200","11419.5855"
"3/4/2017","1488585600","11171.4309"
"3/5/2017","1488672000","11701.7413"
"3/6/2017","1488758400","11736.4413"
"3/7/2017","1488844800","11651.4652"
"3/8/2017","1488931200","12138.6545"
"3/9/2017","1489017600","12105.6647"
"3/10/2017","1489104000","12144.0613"
"3/11/2017","1489190400","12381.3095"
"3/12/2017","1489276800","12404.6584"
"3/13/2017","1489363200","12817.8346"
"3/14/2017","1489449600","12624.5995"
"3/15/2017","1489536000","13008.7100"
"3/16/2017","1489622400","13093.3706"
"3/17/2017","1489708800","13708.6332"
"3/18/2017","1489795200","13956.1955"
"3/19/2017","1489881600","13381.2912"
"3/20/2017","1489968000","14240.8505"
"3/21/2017","1490054400","14004.9233"
"3/22/2017","1490140800","14303.7526"
"3/23/2017","1490227200","14696.6462"
"3/24/2017","1490313600","14717.1530"
"3/25/2017","1490400000","14850.0107"
"3/26/2017","1490486400","15592.2110"
"3/27/2017","1490572800","16234.1177"
"3/28/2017","1490659200","15956.6330"
"3/29/2017","1490745600","16444.6814"
"3/30/2017","1490832000","16508.1931"
"3/31/2017","1490918400","16923.4135"
"4/1/2017","1491004800","16684.6609"
"4/2/2017","1491091200","16718.5386"
"4/3/2017","1491177600","15983.0117"
"4/4/2017","1491264000","16872.1310"
"4/5/2017","1491350400","17294.0660"
"4/6/2017","1491436800","17238.0630"
"4/7/2017","1491523200","17541.6491"
"4/8/2017","1491609600","17605.5606"
"4/9/2017","1491696000","17278.0448"
"4/10/2017","1491782400","17285.4863"
"4/11/2017","1491868800","17900.8160"
"4/12/2017","1491955200","17672.1498"
"4/13/2017","1492041600","17325.6847"
"4/14/2017","1492128000","18877.3819"
"4/15/2017","1492214400","18356.8933"
"4/16/2017","1492300800","18623.6556"
"4/17/2017","1492387200","18986.8175"
"4/18/2017","1492473600","19532.6738"
"4/19/2017","1492560000","19426.3047"
"4/20/2017","1492646400","19598.4726"
"4/21/2017","1492732800","20064.6867"
"4/22/2017","1492819200","20304.9606"
"4/23/2017","1492905600","20695.5064"
"4/24/2017","1492992000","19854.8535"
"4/25/2017","1493078400","20759.4397"
"4/26/2017","1493164800","20518.0576"
"4/27/2017","1493251200","20819.5764"
"4/28/2017","1493337600","22094.2863"
"4/29/2017","1493424000","22674.7072"
"4/30/2017","1493510400","22071.8930"
"5/1/2017","1493596800","22307.6652"
"5/2/2017","1493683200","22218.5493"
"5/3/2017","1493769600","22633.4701"
"5/5/2017","1493942400","23427.2382"
"5/4/2017","1493856000","22403.1399"
"5/6/2017","1494028800","23416.8712"
"5/7/2017","1494115200","23766.8199"
"5/8/2017","1494201600","23598.8389"
"5/9/2017","1494288000","24510.4648"
"5/10/2017","1494374400","24265.0815"
"5/11/2017","1494460800","24906.8722"
"5/12/2017","1494547200","25468.5261"
"5/13/2017","1494633600","24940.8708"
"5/14/2017","1494720000","25763.6063"
"5/15/2017","1494806400","26374.7001"
"5/16/2017","1494892800","26951.5322"
"5/17/2017","1494979200","25673.1355"
"5/18/2017","1495065600","26756.3545"
"5/19/2017","1495152000","27662.8126"
"5/20/2017","1495238400","28704.8846"
"5/21/2017","1495324800","29014.4596"
"5/22/2017","1495411200","29819.2767"
"5/23/2017","1495497600","28807.8371"
"5/24/2017","1495584000","29413.4293"
"5/25/2017","1495670400","29573.7133"
"5/26/2017","1495756800","29752.9865"
"5/27/2017","1495843200","30399.6414"
"5/28/2017","1495929600","30319.4003"
"5/29/2017","1496016000","32344.9504"
"5/30/2017","1496102400","33952.2769"
"5/31/2017","1496188800","33166.6989"
"6/1/2017","1496275200","35032.0837"
"6/2/2017","1496361600","34748.1009"
"6/3/2017","1496448000","35389.9389"
"6/4/2017","1496534400","36683.7213"
"6/5/2017","1496620800","37220.5713"
"6/6/2017","1496707200","37971.5981"
"6/7/2017","1496793600","39157.0428"
"6/8/2017","1496880000","39515.8111"
"6/9/2017","1496966400","39508.5852"
"6/10/2017","1497052800","41872.7093"
"6/11/2017","1497139200","42335.4349"
"6/12/2017","1497225600","41975.3291"
"6/13/2017","1497312000","43492.4743"
"6/14/2017","1497398400","44267.7112"
"6/15/2017","1497484800","46001.9979"
"6/16/2017","1497571200","46630.0453"
"6/17/2017","1497657600","47877.4934"
"6/18/2017","1497744000","49167.6342"
"6/19/2017","1497830400","48994.2646"
"6/20/2017","1497916800","49710.0379"
"6/21/2017","1498003200","50745.6290"
"6/22/2017","1498089600","51035.4320"
"6/23/2017","1498176000","50863.8817"
"6/24/2017","1498262400","52432.2312"
"6/25/2017","1498348800","53050.1040"
"6/26/2017","1498435200","54476.8066"
"6/27/2017","1498521600","55435.8653"
"6/28/2017","1498608000","55902.4878"
"6/29/2017","1498694400","57370.5804"
"6/30/2017","1498780800","58103.4759"
"7/1/2017","1498867200","59257.8637"
"7/2/2017","1498953600","60043.2459"
"7/3/2017","1499040000","61066.6592"
"7/4/2017","1499126400","62015.5576"
